,Player,Season,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
0,stephen-curry,Career,Davidson,,104,,8.4,17.9,0.467,4.4,8.3,0.53,4.0,9.7,0.41200000000000003,4.6,5.3,0.8759999999999999,4.5,3.7,2.1,0.3,3.1,,25.3
1,hubert-davis,Career,UNC,,137,21.3,4.1,8.2,0.498,2.6,4.9,0.541,1.4,3.3,0.435,2.2,2.7,0.8190000000000001,1.8,1.3,0.8,0.2,0.9,0.9,11.8
2,jason-kapono,Career,UCLA,,127,34.0,5.5,11.7,0.469,3.0,6.1,0.489,2.5,5.6,0.446,3.0,3.6,0.83,5.1,2.1,0.9,0.1,2.3,2.3,16.5
3,steve-nash,Career,Santa Clara,,113,30.1,4.7,10.9,0.43,2.3,5.1,0.462,2.3,5.8,0.401,3.3,3.8,0.867,3.1,4.5,1.3,0.1,3.1,1.8,14.9
4,wesley-person,Career,Auburn,,108,35.0,7.1,14.2,0.504,4.7,8.7,0.5429999999999999,2.4,5.5,0.441,2.4,3.2,0.747,6.5,2.6,1.0,0.8,2.4,1.7,19.1
5,steve-novak,Career,Marquette,,126,27.0,3.8,8.4,0.456,1.0,2.3,0.44299999999999995,2.8,6.1,0.461,1.9,2.1,0.9309999999999999,4.2,1.0,0.5,0.1,,,12.4
6,kyle-korver,Career,Creighton,,128,27.7,4.4,9.3,0.47200000000000003,1.5,2.9,0.515,2.9,6.4,0.45299999999999996,2.4,2.7,0.8909999999999999,5.2,2.3,1.3,0.5,1.8,2.3,14.1
7,danny-ferry,Career,Duke,,143,30.1,5.7,11.7,0.484,5.9,11.6,0.51,1.0,2.7,0.38799999999999996,3.0,3.9,0.775,7.0,3.5,1.2,0.5,2.8,2.8,15.1
8,anthony-morrow,Career,Georgia Tech,,123,23.6,3.8,8.8,0.43700000000000006,1.7,3.8,0.45799999999999996,2.1,5.0,0.42100000000000004,1.6,1.8,0.867,3.3,1.0,0.8,0.2,1.0,,11.4
9,klay-thompson,Career,Washington State,,98,35.0,6.1,14.4,0.424,3.6,8.1,0.45,2.5,6.3,0.39,3.2,3.9,0.8270000000000001,4.8,2.6,1.3,0.8,2.9,1.8,17.9
10,brent-barry,Career,Oregon State,,108,28.9,4.0,8.4,0.48,2.8,4.9,0.575,1.2,3.5,0.345,2.8,3.5,0.794,3.7,3.3,1.8,0.6,2.9,2.5,12.1
11,matt-bonner,Career,Florida,,131,25.0,4.4,8.8,0.503,3.2,5.6,0.564,1.3,3.2,0.395,1.9,2.5,0.74,5.9,1.2,0.7,0.5,,,12.0
12,jon-barry,Career,Overall,,94,33.3,5.1,12.1,0.42100000000000004,3.0,6.5,0.465,2.1,5.7,0.371,2.1,2.9,0.7170000000000001,3.6,4.5,1.7,0.3,2.9,2.0,14.4
13,doug-mcdermott,Career,Creighton,,145,31.5,7.9,14.3,0.55,6.0,10.2,0.5870000000000001,1.9,4.1,0.45799999999999996,4.1,4.9,0.831,7.5,1.3,0.2,0.1,2.2,1.8,21.7
14,eric-piatkowski,Career,Nebraska,,123,27.8,5.5,11.7,0.47100000000000003,3.9,7.1,0.544,1.6,4.6,0.358,3.1,4.0,0.777,5.4,2.6,1.0,0.5,2.1,2.1,15.7
15,kelenna-azubuike,Career,Kentucky,,97,22.4,3.6,7.5,0.485,2.7,4.9,0.545,1.0,2.6,0.373,1.7,2.3,0.752,3.7,1.0,0.7,0.3,,,10.0
16,fred-hoiberg,Career,Iowa State,,126,34.0,5.3,10.4,0.511,3.9,6.8,0.569,1.5,3.6,0.4,3.7,4.4,0.8440000000000001,5.9,2.8,1.6,0.1,1.8,1.7,15.8
17,anthony-parker,Career,Bradley,,112,32.2,4.7,10.5,0.447,2.9,5.9,0.5,1.7,4.6,0.379,3.9,5.2,0.75,5.7,3.2,1.4,0.7,2.5,2.0,15.0
18,anthony-peeler,Career,Missouri,,117,30.6,5.7,12.2,0.466,4.7,9.7,0.485,1.0,2.5,0.39299999999999996,4.5,5.7,0.779,5.1,4.2,1.7,0.3,3.1,2.4,16.8
